hours_studied,attendance_pct,previous_score,sleep_hours,grade
1.3,78,84,8.1,C
5.1,85,54,6.9,C
2.2,93,65,7.9,D
7.3,82,70,5.0,B
1.6,75,63,4.9,D
1.0,77,87,6.4,D
1.8,77,61,8.5,D
8.3,99,63,6.9,A
7.3,100,76,4.5,A
8.7,83,50,5.7,B
8.2,78,83,8.9,A
3.1,76,77,5.3,D
5.6,77,47,8.5,B
5.9,74,50,7.6,B
3.6,89,54,4.0,D
4.3,70,41,4.4,D
3.4,62,73,7.9,B
1.8,87,93,8.0,C
7.8,73,87,7.0,A
7.6,56,91,8.2,A
1.0,63,91,6.5,D
3.2,91,68,8.6,B
3.4,77,53,6.9,D
8.1,92,43,6.0,B
5.6,63,63,4.1,D
5.2,56,79,6.8,D
3.4,94,60,4.9,D
6.4,95,62,6.5,B
8.9,53,75,6.5,B
9.9,59,69,5.2,A
1.2,57,68,5.2,D
5.7,58,80,5.5,B
1.4,62,46,7.3,D
8.6,100,52,8.9,A
6.7,70,72,6.2,B
4.6,54,95,7.6,C
3.8,52,73,8.3,C
1.6,66,91,8.4,C
9.1,81,46,7.9,A
9.2,57,67,6.0,A
9.6,69,50,7.1,A
9.3,59,78,6.5,B
1.3,60,89,5.2,D
8.9,72,49,8.6,C
1.4,80,54,6.7,D
9.8,83,49,4.1,B
7.8,63,40,8.1,C
9.1,99,71,8.4,A
7.8,94,92,6.4,A
9.2,69,94,8.3,A
7.7,71,91,4.2,B
9.1,66,70,6.2,B
1.3,63,87,5.7,D
7.1,56,87,5.0,B
8.6,83,63,8.2,A
9.0,80,43,5.2,B
1.4,76,55,8.2,D
5.3,61,40,8.2,C
6.2,98,56,5.3,B
3.0,78,74,5.7,D
4.9,64,90,8.6,B
8.5,79,59,6.0,A
9.8,70,47,7.9,A
7.0,75,50,4.8,C
9.3,72,47,4.6,B
2.3,81,56,6.0,D
5.1,69,51,6.6,B
1.8,65,82,7.7,C
2.6,63,47,7.1,D
5.8,57,43,7.4,C
7.1,90,82,4.0,A
3.4,87,43,4.9,D
6.8,90,86,7.7,A
8.9,50,45,5.0,B
7.8,68,58,8.6,B
6.1,55,46,6.8,D
7.4,65,84,8.5,A
4.0,81,76,5.2,C
6.5,98,66,5.4,B
7.2,55,45,4.7,C
1.4,56,60,7.4,D
1.3,80,66,7.9,C
4.1,76,55,5.5,D
8.3,70,46,7.8,A
4.8,58,87,7.4,D
8.8,97,81,7.9,A
3.6,89,51,4.8,C
3.7,97,83,6.4,B
8.9,64,94,7.4,A
4.4,69,57,8.0,B
5.6,59,95,5.2,C
8.2,85,68,5.2,A
4.0,82,67,7.1,C
1.0,77,77,6.1,D
6.3,53,58,9.0,C
4.1,90,86,4.0,C
5.1,69,89,4.8,C
3.6,88,51,8.2,D
6.9,75,49,7.5,B
5.4,57,41,5.9,D
8.4,79,58,6.0,B
4.3,100,72,6.7,B
3.2,59,74,4.3,D
5.8,59,60,8.8,C
7.9,51,90,6.7,A
9.4,75,86,7.4,A
3.4,83,67,5.9,C
1.6,97,84,4.0,C
4.5,50,72,4.9,D
7.7,62,95,6.8,C
6.4,65,58,7.5,B
7.9,100,61,8.2,A
5.6,77,66,4.1,B
4.0,61,56,5.4,D
6.6,86,51,8.9,A
7.8,86,95,4.8,A
6.7,60,64,5.0,B
1.2,90,92,7.2,D
4.0,85,83,8.8,C
5.1,81,76,4.3,C
4.1,53,92,7.1,C
2.4,78,44,4.4,D
7.1,62,66,8.5,C
1.1,62,46,4.2,D
5.3,74,69,6.5,C
1.3,80,60,7.7,D
3.8,58,48,8.8,D
9.7,100,80,8.9,A
9.4,52,62,8.6,A
4.8,70,81,5.5,C
2.1,83,90,5.5,C
9.5,64,54,7.1,B
9.5,73,60,5.4,A
4.3,66,42,6.2,D
1.5,86,94,5.1,D
2.1,69,49,8.8,D
9.1,77,77,6.8,A
1.7,83,45,8.3,D
4.8,61,81,5.4,B
3.5,90,49,4.9,D
3.0,87,73,4.8,C
1.8,74,69,5.1,D
1.0,88,83,5.7,D
2.5,60,56,5.6,D
6.4,78,61,4.4,B
4.0,90,78,7.8,B
7.3,90,79,6.5,A
5.1,99,72,6.1,B
7.5,89,53,5.4,B
2.7,65,61,4.9,D
3.0,96,73,4.6,C
9.5,100,84,7.5,A
9.2,50,95,5.0,A
6.2,100,73,5.6,A
9.8,73,95,8.3,A
8.8,85,58,7.8,A
8.9,57,76,5.2,A
5.7,94,53,5.3,C
2.0,62,94,6.5,D
6.7,86,47,5.1,A
9.7,77,43,8.9,B
5.0,93,61,4.4,B
5.8,67,91,8.4,B
1.9,79,87,6.7,C
4.0,70,77,4.3,D
2.3,87,42,6.9,D
9.2,74,60,6.4,A
10.0,72,81,6.1,A
9.0,57,75,4.6,B
7.3,90,84,8.5,A
5.9,69,95,8.0,A
4.3,99,48,4.2,D
3.6,82,65,4.8,D
7.8,52,77,5.6,A
1.3,77,74,4.9,C
8.9,99,71,8.6,A
4.4,51,52,7.3,D
3.7,72,69,6.6,D
7.9,95,88,8.8,A
5.2,68,55,7.2,B
9.3,57,86,4.2,A
5.8,58,61,5.1,C
9.0,93,92,6.1,A
5.7,87,40,7.2,C
9.7,88,45,5.0,B
3.3,83,77,5.3,D
3.5,92,77,4.7,C
9.9,57,44,5.3,B
8.6,64,71,4.3,B
2.4,93,67,5.3,C
7.6,63,75,8.3,A
4.8,50,46,9.0,D
2.1,63,56,7.4,D
